id,display_title,main_artist,song_title,music8_artist_slug,music8_song_slug,spotify_artists,slug_candidates
fe8f88f9-3747-4bc5-8df5-1e67279dbf69,Kylie Minogue - Dance Alone,Kylie Minogue,Dance Alone,kylie-minogue,dance-alone-2,"シーア, カイリー・ミノーグ",kylie-minogue/dance-alone-2
d8955c79-1aad-41a8-b3f6-2bddadf8439e,Kyndle Wylde - Say You'll Be There,Kyndle Wylde,Say You'll Be There,kyndle-wylde,say-youll-be-there-vintage-style-cover,"Scott Bradlee's Postmodern Jukebox, Kyndle Wylde, Tawanda, Tatum Langley",kyndle-wylde/say-youll-be-there-vintage-style-cover; scott-bradlees-postmodern-jukebox/say-youll-be-there-vintage-style-cover; tawanda/say-youll-be-there-vintage-style-cover; tatum-langley/say-youll-be-there-vintage-style-cover
555221ae-2421-4029-be47-d7e906ecbb0c,Le Youth - Lighthouse,Le Youth,Lighthouse,le-youth,lighthouse,"LeYouth,RBBTS",le-youth/lighthouse; leyouth/lighthouse
e7b0b1ab-b373-454f-8715-2b910e03ec46,Lloyd Banks - Power,Lloyd Banks,Power,lloyd-banks,power-2,"Lloyd Banks, Jadakiss",lloyd-banks/power-2; jadakiss/power-2
0a4f6e7b-26e9-45b5-97f4-a83626ca149d,Loui & Victony - Selema,Loui & Victony,Selema,loui-victony,selema-po-po,"MusaKeys,Loui",loui-victony/selema-po-po; musakeys/selema-po-po
d59a99d9-fc0c-46ef-bd62-fbc31d6edce8,Lucas &Amp; Steve - Can't Forget You,Lucas &Amp; Steve,Can't Forget You,lucas-steve,cant-forget-you,"LUM!X, Lucas & Steve",lucas-steve/cant-forget-you; lum-x/cant-forget-you
ce0b6a03-3440-4084-a9c4-c34714d46e8e,Luis Fonsi - Despacito,Luis Fonsi,Despacito,,,"Luis Fonsi, Daddy Yankee",luis-fonsi/despacito; daddy-yankee/despacito
a9f7c0b2-3537-4ab4-918e-f92be7be63d5,Luther - Kendrick Lamar & Sza,Luther,Kendrick Lamar & Sza,,,"Kendrick Lamar, SZA",luther/kendrick-lamar-sza; kendrick-lamar/kendrick-lamar-sza; sza/kendrick-lamar-sza
c031cdcc-c1e2-45aa-86fd-243f5b53b39a,Machine Gun Kelly - Emo Girl,Machine Gun Kelly,Emo Girl,machine-gun-kelly,emo-girl,"MachineGunKelly,WILLOW",machine-gun-kelly/emo-girl; machinegunkelly/emo-girl
18c629c8-f7c9-4c06-af03-15020a4690a9,Macklemore - Thrift Shop,Macklemore,Thrift Shop,,,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Wanz",macklemore/thrift-shop; ryan-lewis/thrift-shop; wanz/thrift-shop
0ab0d70e-c322-4862-8493-303aee374205,Maggie Lindemann - Break Me!,Maggie Lindemann,Break Me!,maggie-lindemann,break-me,"MaggieLindemann,Siiickbrain",maggie-lindemann/break-me; maggielindemann/break-me
15bfed9c-50fb-4714-9c27-3d34e4a9b84d,Mariah Carey - Don't Stop Christmas Now,Mariah Carey,Don't Stop Christmas Now,mariah-carey,dont-stop-christmas-now,"2Ectasy, jeffy, Kakagoesbackhome",mariah-carey/dont-stop-christmas-now; 2ectasy/dont-stop-christmas-now; jeffy/dont-stop-christmas-now; kakagoesbackhome/dont-stop-christmas-now
d31c8de5-7a81-4ad7-b398-9e2d9492eca5,MEARSY - Dna,MEARSY,Dna,mearsy,dna-2,"Sophie and the Giants, MEARSY",mearsy/dna-2; sophie/dna-2
73c4d376-373d-4518-9ddc-d386e4ec2507,Metrikuk - Awake,Metrikuk,Awake,metrikuk,awake,"Metrik, ÆON:MODE, Blanke",metrikuk/awake; metrik/awake; on-mode/awake; blanke/awake
e7383047-e727-4707-8be3-ea38b92a157c,Michael Jackson - Say Say Say,Michael Jackson,Say Say Say,,,"Paul McCartney, Michael Jackson",michael-jackson/say-say-say; paul-mccartney/say-say-say
6069c45c-9162-4cf1-8e91-e9a3639a6d6e,Michael Patrick Kelly - Wonders,Michael Patrick Kelly,Wonders,michael-patrick-kelly,wonders-2,"MichaelPatrickKelly,Rakim",michael-patrick-kelly/wonders-2; michaelpatrickkelly/wonders-2
a02609eb-ab0b-4107-8649-8bb614f79d59,Milet - Inside You / The Home Take,Milet,Inside You / The Home Take,,,"Chris Brown, Tyga, Fat Trel",milet/inside-you-the-home-take; chris-brown/inside-you-the-home-take; tyga/inside-you-the-home-take; fat-trel/inside-you-the-home-take
461c5ac5-afae-4604-b2e7-5ba7e53dfa6f,Miley Cyrus - Doctor,Miley Cyrus,Doctor,miley-cyrus,doctor,"ファレル・ウィリアムス, マイリー・サイラス",miley-cyrus/doctor
d7ee0676-db21-4c59-82ca-6bf9b14ced15,Missing - Everything But The Girl,Missing,Everything But The Girl,,,"Everything But The Girl, Todd Terry",missing/everything-but-the-girl; everything-but-the-girl/everything-but-the-girl; todd-terry/everything-but-the-girl
e8756a37-629b-49c9-86c7-3230958bfdcb,Mos Def - Take It Back,Mos Def,Take It Back,mos-def,take-it-back,"Pia Mia, Chris Brown, Tyga",mos-def/take-it-back; pia-mia/take-it-back; chris-brown/take-it-back; tyga/take-it-back
